Codigo_Distrito;year;Vehiculos_Generales;Motocicletas
1;2010;33005;17859
1;2011;32129;18291
1;2012;31307;18464
1;2013;27301;16956
1;2014;27182;15084
2;2010;118224;52679
2;2011;116698;52940
2;2012;115218;53071
2;2013;109916;47070
2;2014;110871;48010
3;2010;77910;28352
3;2011;77315;28382
3;2012;75985;28464
3;2013;81108;25513
3;2014;79664;25773
4;2010;43067;19545
4;2011;42705;19549
4;2012;42308;19543
4;2013;44598;17487
4;2014;44675;17612
5;2010;79870;47520
5;2011;79417;47743
5;2012;78624;47866
5;2013;76486;42333
5;2014;77303;43058
6;2010;47726;25999
6;2011;47115;26128
6;2012;46373;26027
6;2013;42066;23133
6;2014;42037;23222
7;2010;69924;31038
7;2011;68748;31153
7;2012;67770;31204
7;2013;62994;27828
7;2014;62784;28149
8;2010;64663;19796
8;2011;64055;19908
8;2012;62885;19982
8;2013;57652;17716
8;2014;57163;17813
9;2010;58633;19496
9;2011;68769;9053
9;2012;57728;19610
9;2013;55723;18103
9;2014;55649;18283
10;2010;93258;31573
10;2011;93043;31850
10;2012;92460;32115
10;2013;87783;29355
10;2014;88274;29813
